Account Name,Twitter Username (Organisation),Website,Date Certified (Initial),Country
Small Giants Australia,SGAust,www.smallgiants.com.au/,15/06/2012,Australia
TOM Organic,TOMOrganic,www.tomorganic.com.au,20/09/2012,Australia
Eagle Consumables,eagleconsumable,www.eagleconsumables.co.nz,22/11/2012,New Zealand
Third Spaces Group,ThirdSpaces,www.thirdspaces.com,04/01/2013,Australia
Snakk Media,SnakkMedia,www.snakkmedia.com,01/03/2013,Australia
Dumbo Feather,dumbofeather,dumbofeather.com,03/06/2013,Australia
HITnet,HITnet_au,www.hitnet.com.au,13/06/2013,Australia
Impact Investment Group,ImpactINV,www.impact-group.com.au,30/08/2013,Australia
Shark Island Productions Pty Ltd,sharkislandAUS,www.sharkisland.com.au,15/10/2013,Australia
Henley Club,thehenleyclub,henleyclub.com.au,22/10/2013,Australia
Interface Sustainable Constructions,hello_interface,www.interfaceconstructions.com.au,07/01/2014,Australia
Neometro,OpenJournalAU,neometro.com.au,27/01/2014,Australia
Talent Nation,talentnationaus,www.talentnation.com.au,29/01/2014,Australia
Australian Ethical Investment,austethical,www.australianethical.com.au,06/02/2014,Australia
TuShare,TuShareAus,www.tushare.com,31/03/2014,Australia
Wildwon Projects,wildwonprojects,www.wildwon.com.au,30/05/2014,Australia
Reho Travel,rehotravel,www.reho.com/,06/06/2014,Australia
Pangolin Associates,pangolinassoc,www.pangolinassociates.com,25/06/2014,Australia
Pro Bono Australia,ProBonoAust,www.probonoaustralia.com.au,14/07/2014,Australia
Ethinvest,Ethinvest_AU,ethinvest.com.au,29/07/2014,Australia
Vital Consult,VITALCONSULT_AU,www.vitalconsult.com.au,09/08/2014,Australia
361 Degrees Stakeholder Engagement Services,361D,www.361degrees.com.au,10/08/2014,Australia
Arktisma,serversaurus,www.arktisma.com.au,12/08/2014,Australia
Currie Communications,bluechillie,www.curriecommunications.com.au,14/08/2014,Australia
Ecocreative,ecocreative,www.ecocreative.com.au,18/08/2014,Australia
Orbis Environmental,AnnaScottAus,www.orbisenvironmental.com.au,18/08/2014,Australia
Studio Thick Pty Ltd,StudioThick,www.studiothick.com,18/08/2014,Australia
B cubed Management Consultants Pty Ltd,bcubedma,www.bcubed.com.au,19/08/2014,Australia
Clearpoint Counsel Pty Ltd,CPCounsel,www.clearpointcounsel.com,19/08/2014,Australia
KeepCup,KeepCup,keepcup.com,20/08/2014,Australia
Carolyn Tate & Co.,carolyntateco,www.carolyntate.co,27/08/2014,Australia
Education Changemakers,EduChangemakers,www.educationchangemakers.com,27/08/2014,Australia
Kindred Studios,kindredstudios,www.kindredstudios.com.au,28/08/2014,Australia
Five AM Life Pty Ltd,fiveamorganics,fiveam.com.au,09/10/2014,Australia
The School of Life Australia,TSOLMelb,www.theschooloflife.com.au,13/10/2014,Australia
Energy for the People,Energy4People,www.energyforthepeople.com.au,11/11/2014,Australia
Our Community Pty Ltd,OurCommunityAU,www.ourcommunity.com.au,08/12/2014,Australia
Aither Pty Ltd,aithernews,aither.com.au,15/12/2014,Australia
Lantern Legal Group,harwoodandrews,www.tllg.com.au,09/02/2015,Australia
Zinc Pty Ltd,zincgroup,www.zinc.com.au,24/02/2015,Australia
Bendalls Group,FiBendall,www.bendalls.com.au,05/03/2015,Australia
Wealth Enhancers,WealthEnhancers,www.wealthenhancers.com.au,17/03/2015,Australia
